date,subway,COVID-19,COVID-19 KOR
2020-09-10,10581062,64,155
2020-09-11,10913424,38,176
2020-09-12,6327972,34,136
2020-09-13,4732153,41,121
2020-09-14,11314011,36,109
2020-09-15,11560900,50,106
2020-09-16,11423184,80,113
2020-09-17,11671439,39,153
2020-09-18,12261282,32,126
2020-09-19,7899994,20,110
2020-09-20,5479390,23,82
2020-09-21,12077573,39,70
2020-09-22,12273422,41,61
2020-09-23,12379837,24,110
2020-09-24,12410310,67,125
2020-09-25,12955976,12,114
2020-09-26,8302504,48,61
2020-09-27,5743857,6,95
2020-09-28,12469696,26,50
2020-09-29,12276052,36,38
2020-09-30,5004702,30,113
2020-10-01,3559972,21,77
2020-10-02,4892779,24,63
2020-10-03,6000946,8,75
2020-10-04,5415765,19,64
2020-10-05,12336437,19,73
2020-10-06,12645446,40,75
2020-10-07,12782386,10,114
2020-10-08,13283884,21,69
2020-10-09,7967903,25,54
2020-10-10,8270402,24,72
2020-10-11,6023936,31,58
2020-10-12,12919552,20,98
2020-10-13,13197061,26,91
2020-10-14,13278789,21,84
2020-10-15,13206010,19,110
2020-10-16,13669899,18,47
2020-10-17,9473702,19,73
2020-10-18,6639831,16,91
2020-10-19,13172961,12,76
2020-10-20,13509976,15,58
2020-10-21,13482101,17,89
2020-10-22,13519515,21,121
2020-10-23,14136076,21,155
2020-10-24,9774311,27,77
2020-10-25,6937074,14,61
2020-10-26,13375747,20,119
2020-10-27,13624299,31,88
2020-10-28,13778053,33,103
2020-10-29,13750772,50,125
2020-10-30,14302039,46,113
2020-10-31,10085913,45,127
2020-11-01,6330501,25,124
2020-11-02,13472008,22,97
2020-11-03,13627307,43,75
2020-11-04,13675749,49,117
2020-11-05,13768351,40,125
2020-11-06,14160231,37,145
2020-11-07,9976706,55,89
2020-11-08,7161822,45,143
2020-11-09,13412277,36,126
2020-11-10,13803602,44,100
2020-11-11,14005090,53,145
2020-11-12,13892319,74,143
2020-11-13,14277508,69,191
2020-11-14,9858349,85,205
2020-11-15,6965833,71,208
2020-11-16,13337942,98,222
2020-11-17,13500897,92,230
2020-11-18,13302261,109,285
2020-11-19,12640812,132,325
2020-11-20,13649127,156,348
2020-11-21,8726758,121,386
2020-11-22,5845826,112,330
2020-11-23,12630392,134,271
2020-11-24,12361962,142,349
2020-11-25,12385648,212,382
2020-11-26,12008243,203,581
2020-11-27,11988662,177,555
2020-11-28,7046851,156,503
2020-11-29,4938908,158,450
2020-11-30,11524264,154,438
2020-12-01,11538937,200,451
2020-12-02,11700383,261,511
2020-12-03,11583177,296,540
2020-12-04,11815629,235,628
2020-12-05,7089673,243,577
2020-12-06,4947903,238,631
2020-12-07,11391389,230,615
2020-12-08,10983880,259,587
2020-12-09,10921451,252,670
2020-12-10,10926731,260,680
2020-12-11,11150768,365,689
2020-12-12,6361847,392,950
2020-12-13,4095305,219,1030
2020-12-14,10123462,249,718
2020-12-15,10002987,383,880
2020-12-16,9935709,427,1078
2020-12-17,10067395,588,1014
2020-12-18,10590119,378,1064
2020-12-19,5831322,295,1045
2020-12-20,3958073,333,1096
2020-12-21,10369296,331,924
2020-12-22,10435514,376,866
2020-12-23,10456263,348,1090
2020-12-24,10499264,568,985
2020-12-25,4566844,430,1240
2020-12-26,5239984,343,1131
2020-12-27,3775737,300,970
2020-12-28,10160857,524,806
2020-12-29,10194312,387,1044
2020-12-30,9749647,359,1050
2020-12-31,9324739,363,967
2021-01-01,3149873,248,1027
2021-01-02,4866851,190,820
2021-01-03,3791610,330,657
2021-01-04,10493167,194,1020
2021-01-05,10478875,260,714
2021-01-06,10921229,298,838
2021-01-07,11385036,191,869
2021-01-08,10524346,187,674
2021-01-09,5938587,186,641
2021-01-10,4016505,140,657
2021-01-11,10653244,167,451
2021-01-12,11505110,148,537
2021-01-13,11277180,138,561
2021-01-14,11112418,120,524
2021-01-15,11251767,155,512
2021-01-16,6771978,145,580
2021-01-17,4533212,129,520
2021-01-18,11584235,102,389
2021-01-19,11159008,145,386
2021-01-20,11715169,123,404
2021-01-21,11457864,112,400
2021-01-22,11837343,128,346
2021-01-23,7461731,132,431
2021-01-24,5197756,101,392
2021-01-25,11801152,101,437
2021-01-26,11652136,130,349
2021-01-27,12114490,104,559
2021-01-28,11751908,113,497
2021-01-29,11641911,152,469
2021-01-30,7517234,100,456
2021-01-31,5297203,109,354
2021-02-01,11952262,126,305
2021-02-02,11908745,190,336
2021-02-03,12431306,170,467
2021-02-04,12372634,125,451
2021-02-05,12591980,145,370
2021-02-06,7941627,143,390
2021-02-07,5518199,111,371
2021-02-08,12299568,91,288
2021-02-09,12446647,175,303
2021-02-10,11958365,184,444
2021-02-11,4755241,163,504
2021-02-12,3374628,131,403
2021-02-13,5475821,151,362
2021-02-14,5355841,149,326
2021-02-15,11865232,161,343
2021-02-16,12312925,258,457
2021-02-17,12086440,188,621
2021-02-18,12221708,175,621
2021-02-19,12962685,130,561
2021-02-20,8625075,124,448
2021-02-21,6133538,113,416
2021-02-22,12624889,117,332
2021-02-23,12655442,144,356
2021-02-24,12840430,122,440
2021-02-25,12757691,131,395
2021-02-26,13315291,131,387
2021-02-27,9045209,120,415
2021-02-28,6676655,92,355
2021-03-01,5259321,120,355
2021-03-02,12795822,118,344
2021-03-03,13019193,118,444
2021-03-04,12980547,131,424
2021-03-05,13702199,127,398
2021-03-06,9073632,131,418
2021-03-07,6470338,100,416
2021-03-08,12902189,102,346
2021-03-09,13137449,139,446
2021-03-10,13254549,137,470
2021-03-11,13135547,140,465
2021-03-12,13547210,140,488
2021-03-13,9328428,112,490
2021-03-14,6601405,108,459
2021-03-15,12903529,79,379
2021-03-16,13110639,120,363
2021-03-17,13325905,124,469
2021-03-18,13305145,146,445
2021-03-19,13962594,115,463
2021-03-20,8557026,125,447
2021-03-21,6625425,109,456
2021-03-22,12986925,97,415
